Date,XOM,CVX,MRO,PSX,VLO,SLB,HAL,OXY,EQT,XOM,CVX,MRO,PSX,VLO,SLB,HAL,OXY,EQT,XOM,CVX,Spread,Ratio,Log_XOM,Log_CVX
2022-11-11,113.95,186.46,32.88,111.3,133.96,54.82,38.74,74.33,42.62,0.03074423,0.02806362,0.03970745,0.04652857,0.01133603,0.03187816,0.02429904,0.05318566,-0.0065482,113.95,186.46,72.51,1.636331724,0.03074423,0.02806362
2022-11-10,110.5,181.3,31.6,106.24,132.45,53.1,37.81,70.48,42.9,0.01458549,0.0187629,0.0311772,0.02044478,0.03417495,0.00056513,0.02680407,0.03685122,0.04920983,110.5,181.3,70.8,1.640723982,0.01458549,0.0187629
2022-11-09,108.9,177.93,30.63,104.09,128.0,53.07,36.81,67.93,40.84,-0.04576842,-0.04080176,-0.06631217,-0.00975151,-0.03266381,-0.03006908,-0.06723456,-0.09674111,-0.07316307,108.9,177.93,69.03,1.633884298,-0.04576842,-0.04080176
2022-11-08,114.0,185.34,32.73,105.11,132.25,54.69,39.37,74.83,43.94,0.00316289,-0.00145572,-0.00912415,-0.0030398,0.00356021,-0.00219178,-0.00430871,-0.01511965,-0.00544713,114.0,185.34,71.34,1.625789474,0.00316289,-0.00145572
2022-11-07,113.64,185.61,33.03,105.43,131.78,54.81,39.54,75.97,44.18,0.01177265,0.01186909,0.03074328,0.01866887,0.02349436,0.03169573,0.02717419,0.03618728,0.07275081,113.64,185.61,71.97,1.633315734,0.01177265,0.01186909
2022-11-04,112.31,183.42,32.03,103.48,128.72,53.1,38.48,73.27,41.08,0.01083221,0.0125636,0.01922833,0.003485,-0.00766169,0.02478678,0.04301167,0.01526537,0.04302541,112.31,183.42,71.11,1.633158223,0.01083221,0.0125636
2022-11-03,111.1,181.13,31.42,103.12,129.71,51.8,36.86,72.16,39.35,0.01350209,0.0146264,0.05427942,-0.00116302,0.0303694,0.01282318,0.02945843,0.01479854,-0.02806498,111.1,181.13,70.03,1.630333033,0.01350209,0.0146264
2022-11-02,109.61,178.5,29.76,103.24,125.83,51.14,35.79,71.1,40.47,-0.02076637,-0.02062615,-0.03856138,-0.03931757,-0.03260266,-0.00798524,-0.01964374,-0.03727139,-0.00689488,109.61,178.5,68.89,1.628501049,-0.02076637,-0.02062615
2022-11-01,111.91,182.22,30.93,107.38,130.0,51.55,36.5,73.8,40.75,0.00987795,0.00727036,0.01564059,0.02919846,0.03483036,-0.00926826,0.00219419,0.01639381,-0.02639698,111.91,182.22,70.31,1.628272719,0.00987795,0.00727036
2022-10-31,110.81,180.9,30.45,104.29,125.55,52.03,36.42,72.6,41.84,0.00099318,0.00509866,0.00956945,0.00086335,-0.00341908,0.03083773,0.01298899,0.0105235,0.07853015,110.81,180.9,70.09,1.63252414,0.00099318,0.00509866
2022-10-28,110.7,179.98,30.16,104.2,125.98,50.45,35.95,71.84,38.68,0.02886798,0.01162414,-0.01186566,0.00616097,-0.01801425,-0.02408811,-0.00886187,-0.00041751,-0.0107998,110.7,179.98,69.28,1.625835592,0.02886798,0.01162414
2022-10-27,107.55,177.9,30.52,103.56,128.27,51.68,36.27,71.87,39.1,0.00381947,0.00456352,0.01120275,0.01263257,0.01199967,-0.00962842,-0.00577321,-0.00900345,0.00230444,107.55,177.9,70.35,1.654114365,0.00381947,0.00456352
2022-10-26,107.14,177.09,30.18,102.26,126.74,52.18,36.48,72.52,39.01,0.01183001,0.01227218,0.01771733,0.02015082,-0.0004733,-0.0055423,0.0419877,0.01991571,-0.01501109,107.14,177.09,69.95,1.652884077,0.01183001,0.01227218
2022-10-25,105.88,174.93,29.65,100.22,126.8,52.47,34.98,71.09,39.6,-0.00677713,0.01034314,0.00608933,-0.00179444,-0.01890534,0.0061174,0.01150099,0.00366404,0.03259624,105.88,174.93,69.05,1.652153381,-0.00677713,0.01034314
2022-10-24,106.6,173.13,29.47,100.4,129.22,52.15,34.58,70.83,38.33,0.00696605,-0.0003465,0.01091788,-0.00039833,0.01151943,0.03393461,0.02045061,-0.00605252,0.01180961,106.6,173.13,66.53,1.624108818,0.00696605,-0.0003465
2022-10-21,105.86,173.19,29.15,100.44,127.74,50.41,33.88,71.26,37.88,0.01839987,0.02472726,0.03206967,0.02724964,0.02617328,0.09831011,0.06777082,0.03440494,-0.07278714,105.86,173.19,67.33,1.636028717,0.01839987,0.02472726
2022-10-20,103.93,168.96,28.23,97.74,124.44,45.69,31.66,68.85,40.74,0.00134797,0.00569802,-0.00424179,-0.00214625,0.00386474,0.00482669,-0.00943107,0.00568059,-0.03544675,103.93,168.96,65.03,1.625709612,0.00134797,0.00569802
2022-10-19,103.79,168.0,28.35,97.95,123.96,45.47,31.96,68.46,42.21,0.02923127,0.03193305,0.02826158,0.01896378,0.05181992,0.04751541,0.04807077,0.00998247,0.00952161,103.79,168.0,64.21,1.618653049,0.02923127,0.03193305
2022-10-18,100.8,162.72,27.56,96.11,117.7,43.36,30.46,67.78,41.81,0.00178731,0.00870295,0.01535679,0.00678606,0.01886848,0.01159837,0.01555035,0.0062158,0.0,100.8,162.72,61.92,1.614285714,0.00178731,0.00870295
2022-10-17,100.62,161.31,27.14,95.46,115.5,42.86,29.99,67.36,41.81,0.01431384,0.00727955,0.00332165,0.01434926,0.01202,0.01646709,0.01952924,0.01014631,0.01639776,100.62,161.31,60.69,1.603160405,0.01431384,0.00727955
2022-10-14,99.19,160.14,27.05,94.1,114.12,42.16,29.41,66.68,41.13,-0.02666029,-0.03159257,-0.04623431,-0.02932147,-0.05738232,-0.04702661,-0.05619456,-0.01960265,-0.07582578,99.19,160.14,60.95,1.614477266,-0.02666029,-0.03159257
